State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.568,3.839,4.036,3.621,U.S Dollar,US Gallon,2025-06-16
Alaska,AK,Fairbanks,3.67,4.009,4.064,3.746,U.S Dollar,US Gallon,2025-06-16
Alaska,AK,Juneau,3.722,3.673,3.842,4.003,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Anniston-Oxford,2.765,3.143,3.549,3.246,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Auburn,2.758,3.173,3.539,3.221,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Birmingham,2.766,3.218,3.636,3.325,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Daphne-Fairhope-Foley,2.808,3.25,3.632,3.254,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Decatur,2.7,3.133,3.503,3.217,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Dothan,2.753,3.179,3.569,3.389,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Florence-Muscle Shoals,2.736,3.161,3.551,3.201,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Gadsden,2.676,3.039,3.519,3.18,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Huntsville,2.716,3.14,3.477,3.244,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Mobile,2.786,3.243,3.621,3.286,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Montgomery,2.805,3.258,3.666,3.291,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Russell County,2.798,3.218,3.587,3.319,U.S Dollar,US Gallon,2025-06-16
Alabama,AL,Tuscaloosa,2.695,3.137,3.516,3.254,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Fayetteville-Springdale-Rogers,2.849,3.219,3.539,3.183,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Fort Smith (AR only),2.773,3.158,3.507,3.144,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Hot Springs,2.755,3.234,3.606,3.174,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Jonesboro,2.678,2.968,3.524,3.191,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Little Rock-North Little Rock,2.752,3.208,3.569,3.128,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Pine Bluff,2.7,3.198,3.599,3.197,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,Texarkana (AR only),2.791,3.222,3.702,3.309,U.S Dollar,US Gallon,2025-06-16
Arkansas,AR,West Memphis,2.761,3.199,3.699,3.252,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,East Valley,3.456,3.809,4.118,3.403,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Flagstaff,3.159,3.398,3.825,3.377,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Glendale,3.433,3.793,4.072,3.374,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Lake Havasu-Kingman,3.117,3.35,3.695,3.521,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Peoria,3.418,3.775,4.101,3.481,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Phoenix Proper,3.398,3.705,4.036,3.346,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Phoenix-Mesa,3.413,3.749,4.062,3.412,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Pima County,2.958,3.287,3.59,3.276,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Prescott,3.168,3.431,3.759,3.518,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Scottsdale,3.536,3.874,4.176,3.629,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Sierra Vista-Douglas,2.948,3.181,3.527,3.314,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Tucson,2.951,3.284,3.587,3.278,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,West Valley,3.405,3.755,4.052,3.401,U.S Dollar,US Gallon,2025-06-16
Arizona,AZ,Yuma,2.883,3.278,3.57,3.356,U.S Dollar,US Gallon,2025-06-16
